"year","quarter","category","subcategory","title","url","file_type","size_kb","is_official","created_at"
"2025","Q2","expenditure_execution","by_financing_source","Estado de Ejecución de Gastos por Fuente de Financiamiento Junio","http://carmendeareco.gob.ar/wp-content/uploads/2025/07/Estado-de-Ejecucion-de-Gastos-por-Fuente-de-Financiamiento-Junio.pdf","PDF",0,"TRUE","2025-07-01"
"2025","Q2","expenditure_execution","by_economic_character","Estado de Ejecución de Gastos por Carácter Económico Junio","http://carmendeareco.gob.ar/wp-content/uploads/2025/07/Estado-de-Ejecucion-de-Gastos-por-Caracter-Economico-Junio.pdf","PDF",0,"TRUE","2025-07-01"
"2025","Q2","expenditure_execution","by_purpose_function","Estado de Ejecución de Gastos por Finalidad y Función Junio","http://carmendeareco.gob.ar/wp-content/uploads/2025/07/Estado-de-Ejecucion-de-Gastos-por-Finalidad-y-Funcion-Junio.pdf","PDF",0,"TRUE","2025-07-01"
"2025","Q2","expenditure_execution","gender_perspective","Estado de Ejecución de Gastos con Perspectiva de Género Junio","http://carmendeareco.gob.ar/wp-content/uploads/2025/07/Estado-de-Ejecucion-de-Gastos-con-Perspectiva-de-Genero-Junio.pdf","PDF",0,"TRUE","2025-07-01"
"2025","Q2","financial_position","","Situación Económica Financiera Junio","http://carmendeareco.gob.ar/wp-content/uploads/2025/07/Situacion-Economico-Financiera-Junio.pdf","PDF",0,"TRUE","2025-07-01"
"2025","Q2","financial_position","savings_investment","Cuenta Ahorro Inversión Financiamiento Junio","http://carmendeareco.gob.ar/wp-content/uploads/2025/07/Cuenta-Ahorro-Inversion-Financiamiento-Junio.pdf","PDF",0,"TRUE","2025-07-01"
"2024","Q3","resource_execution","","Estado de Ejecución de Recursos 3er Trimestre","https://carmendeareco.gob.ar/wp-content/uploads/2024/10/Estado-de-Ejecucion-de-Recursos-3er-Trimestres.pdf","PDF",0,"TRUE","2024-10-01"
"2024","Q3","resource_execution","by_source","Estado de Ejecución de Recursos por Procedencia 3er Trimestre","https://carmendeareco.gob.ar/wp-content/uploads/2024/10/Estado-de-Ejecucion-de-Recursos-por-Procedencia-3er-Trimestres.pdf","PDF",0,"TRUE","2024-10-01"
"2024","Q3","resource_execution","by_economic_character","Estado de Ejecución de Recursos por Carácter Económico 3er Trimestre","https://carmendeareco.gob.ar/wp-content/uploads/2024/10/Estado-de-Ejecucion-de-Recursos-por-Caracter-Economico-3er-Trimestre.pdf","PDF",0,"TRUE","2024-10-01"
"2024","Q3","resource_execution","affected_vs_expenses","Estado de Ejecución de Recursos Afectados Vs Gastos 3er Trimestre","https://carmendeareco.gob.ar/wp-content/uploads/2024/10/Estado-de-Ejecucion-de-Recursos-Afectados-vs-Gastos-3er-Trimestres.pdf","PDF",0,"TRUE","2024-10-01"
"2024","Q3","expenditure_execution","","Estado de Ejecución de Gastos 3er Trimestre","https://carmendeareco.gob.ar/wp-content/uploads/2024/10/Estado-de-Ejecucion-de-Gastos-3er-Trimestres.pdf","PDF",0,"TRUE","2024-10-01"
"2024","Q3","expenditure_execution","by_financing_source","Estado de Ejecución de Gastos por Fuente de Financiamiento 3er Trimestre","https://carmendeareco.gob.ar/wp-content/uploads/2024/10/Estado-de-Ejecucion-de-Gastos-por-Fuente-de-Financiamiento-3er-Trimestres.pdf","PDF",0,"TRUE","2024-10-01"
"2024","Q3","expenditure_execution","by_economic_character","Estado de Ejecución de Gastos por Carácter Económico 3er Trimestre","https://carmendeareco.gob.ar/wp-content/uploads/2024/10/Estado-de-Ejecucion-de-Gastos-por-Caracter-Economico-3er-Trimestre.pdf","PDF",0,"TRUE","2024-10-01"
"2024","Q3","expenditure_execution","by_purpose_function","Estado de Ejecución de Gastos por Finalidad y Función 3er Trimestre","https://carmendeareco.gob.ar/wp-content/uploads/2024/10/Estado-de-Ejecucion-de-Gastos-por-Finalidad-y-Funcion-3er-Trimestres.pdf","PDF",0,"TRUE","2024-10-01"
"2024","Q3","expenditure_execution","gender_perspective","Estado de Ejecución de Gastos con Perspectiva de Género 3er Trimestre","https://carmendeareco.gob.ar/wp-content/uploads/2024/10/Estado-de-Ejecucion-de-Gastos-con-Perspectiva-de-Genero-3er-Trimestre.pdf","PDF",0,"TRUE","2024-10-01"
"2024","Q3","financial_position","","Situación Económica Financiera 3er Trimestre","https://carmendeareco.gob.ar/wp-content/uploads/2024/10/Situacion-Economico-Financiera-3er-Trimestre.pdf","PDF",0,"TRUE","2024-10-01"
"2024","Q3","financial_position","savings_investment","Cuenta Ahorro Inversión Financiamiento 3er Trimestre","https://carmendeareco.gob.ar/wp-content/uploads/2024/10/Cuenta-Ahorro-Inversion-Financiamiento-3er-Trimestre.pdf","PDF",0,"TRUE","2024-10-01"
