Title,Year,Subject,File Link,source_file,source_path
EVOLUCIÓN DE LAS PRESTACIONES DE SALUD EN C.A.P.S.,2016-2019,Health Consultations,https://github.com/flongstaff/cda-transparencia/raw/main/data/prestaciones_salud_caps.csv,estadisticas_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/estadisticas_index.csv
CUD Evolution,2010-2020,Fiscal Distribution Coefficient,https://github.com/flongstaff/cda-transparencia/raw/main/data/cud_evolution_2010_2020.csv,estadisticas_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/estadisticas_index.csv
ESTADISTICAS BROMATOLOGIA,2022,Bromatologia (Animal Health),https://www.carmendeareco.gob.ar/estadisticas/2022/BROMATOLOGIA.pdf,estadisticas_index_estadisticas_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_estadisticas_index.csv
EVOLUCIÓN DE LAS PRESTACIONES DE SALUD EN C.A.P.S.,2021,Health Statistics,https://www.carmendeareco.gob.ar/estadisticas/2021/ESTADISTICAS-SALUD.pdf,estadisticas_index_estadisticas_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_estadisticas_index.csv
ESTADISTICAS DE LAS C.A.P.S.,2021,CAPS Health Statistics,https://www.carmendeareco.gob.ar/estadisticas/2021/2021%20CAPS%20ESTADISTICAS.pdf,estadisticas_index_estadisticas_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_estadisticas_index.csv
ESTADISTICAS CAPS,2022,CAPS Health Statistics,https://www.carmendeareco.gob.ar/estadisticas/2022/ESTADISTICAS%20CAPS%202022.pdf,estadisticas_index_estadisticas_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_estadisticas_index.csv
REPORTES CIUDADANOS 2022,2022,Citizen Reports,https://carmendeareco.gob.ar/estadisticas/2022/REPORTES%20CIUDADANOS%202022.pdf,estadisticas_index_estadisticas_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_estadisticas_index.csv
INFORME ECONÓMICO 2020,2020,Economic Financial Report,https://www.carmendeareco.gob.ar/estadisticas/2021/INFORME-ECON%C3%93MICO-FINANCIERO-2020.pdf,estadisticas_index_estadisticas_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_estadisticas_index.csv
Habilitaciones municipales 2021,2021,Municipal Habilitations,https://www.carmendeareco.gob.ar/estadisticas/2021/2021%20HABILITACIONES%20MUNICIPALES.pdf,estadisticas_index_estadisticas_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_estadisticas_index.csv
ESTADÍSTICAS DE LA OFICINA MUNICIPAL DE INFORMACIÓN AL CONSUMIDOR,2021,Social Affairs OMIC,https://www.carmendeareco.gob.ar/estadisticas/2021/ASUNTOS-SOCIALES-OMIC-CARMEN-DE-ARECO.pdf,estadisticas_index_estadisticas_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_estadisticas_index.csv
ADMINISTRACION PUBLICA,2022,Public Administration,https://carmendeareco.gob.ar/estadisticas/2022/ADMINISTRACION%20PUBLICA.pdf,estadisticas_index_estadisticas_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_estadisticas_index.csv
PRODUCCION 2012-2021,2022,Production Statistics (2012-2021),https://www.carmendeareco.gob.ar/estadisticas/2022/PRODUCCION%202012-2021.pdf,estadisticas_index_estadisticas_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_estadisticas_index.csv
EVOLUCIÓN DE LAS PRESTACIONES DE SALUD EN C.A.P.S.,2016-2019,Health Consultations,https://github.com/flongstaff/cda-transparencia/raw/main/data/prestaciones_salud_caps.csv,estadisticas_index_estadisticas_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_estadisticas_index.csv
CUD Evolution,2010-2020,Fiscal Distribution Coefficient,https://github.com/flongstaff/cda-transparencia/raw/main/data/cud_evolution_2010_2020.csv,estadisticas_index_estadisticas_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_estadisticas_index.csv
ESTADISTICAS BROMATOLOGIA,2022,Bromatologia (Animal Health),https://www.carmendeareco.gob.ar/estadisticas/2022/BROMATOLOGIA.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
EVOLUCIÓN DE LAS PRESTACIONES DE SALUD EN C.A.P.S.,2021,Health Statistics,https://www.carmendeareco.gob.ar/estadisticas/2021/ESTADISTICAS-SALUD.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
ESTADISTICAS DE LAS C.A.P.S.,2021,CAPS Health Statistics,https://www.carmendeareco.gob.ar/estadisticas/2021/2021%20CAPS%20ESTADISTICAS.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
ESTADISTICAS CAPS,2022,CAPS Health Statistics,https://www.carmendeareco.gob.ar/estadisticas/2022/ESTADISTICAS%20CAPS%202022.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
REPORTES CIUDADANOS 2022,2022,Citizen Reports,https://carmendeareco.gob.ar/estadisticas/2022/REPORTES%20CIUDADANOS%202022.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
INFORME ECONÓMICO 2020,2020,Economic Financial Report,https://www.carmendeareco.gob.ar/estadisticas/2021/INFORME-ECON%C3%93MICO-FINANCIERO-2020.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
Habilitaciones municipales 2021,2021,Municipal Habilitations,https://www.carmendeareco.gob.ar/estadisticas/2021/2021%20HABILITACIONES%20MUNICIPALES.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
ESTADÍSTICAS DE LA OFICINA MUNICIPAL DE INFORMACIÓN AL CONSUMIDOR,2021,Social Affairs OMIC,https://www.carmendeareco.gob.ar/estadisticas/2021/ASUNTOS-SOCIALES-OMIC-CARMEN-DE-ARECO.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
ADMINISTRACION PUBLICA,2022,Public Administration,https://carmendeareco.gob.ar/estadisticas/2022/ADMINISTRACION%20PUBLICA.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
PRODUCCION 2012-2021,2022,Production Statistics (2012-2021),https://www.carmendeareco.gob.ar/estadisticas/2022/PRODUCCION%202012-2021.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
EVOLUCIÓN DE LAS PRESTACIONES DE SALUD EN C.A.P.S.,2016-2019,Health Consultations,https://github.com/flongstaff/cda-transparencia/raw/main/data/prestaciones_salud_caps.csv,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
CUD Evolution,2010-2020,Fiscal Distribution Coefficient,https://github.com/flongstaff/cda-transparencia/raw/main/data/cud_evolution_2010_2020.csv,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
ESTADISTICAS BROMATOLOGIA,2022,Bromatologia (Animal Health),https://www.carmendeareco.gob.ar/estadisticas/2022/BROMATOLOGIA.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
EVOLUCIÓN DE LAS PRESTACIONES DE SALUD EN C.A.P.S.,2021,Health Statistics,https://www.carmendeareco.gob.ar/estadisticas/2021/ESTADISTICAS-SALUD.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
ESTADISTICAS DE LAS C.A.P.S.,2021,CAPS Health Statistics,https://www.carmendeareco.gob.ar/estadisticas/2021/2021%20CAPS%20ESTADISTICAS.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
ESTADISTICAS CAPS,2022,CAPS Health Statistics,https://www.carmendeareco.gob.ar/estadisticas/2022/ESTADISTICAS%20CAPS%202022.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
REPORTES CIUDADANOS 2022,2022,Citizen Reports,https://carmendeareco.gob.ar/estadisticas/2022/REPORTES%20CIUDADANOS%202022.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
INFORME ECONÓMICO 2020,2020,Economic Financial Report,https://www.carmendeareco.gob.ar/estadisticas/2021/INFORME-ECON%C3%93MICO-FINANCIERO-2020.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
Habilitaciones municipales 2021,2021,Municipal Habilitations,https://www.carmendeareco.gob.ar/estadisticas/2021/2021%20HABILITACIONES%20MUNICIPALES.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
ESTADÍSTICAS DE LA OFICINA MUNICIPAL DE INFORMACIÓN AL CONSUMIDOR,2021,Social Affairs OMIC,https://www.carmendeareco.gob.ar/estadisticas/2021/ASUNTOS-SOCIALES-OMIC-CARMEN-DE-ARECO.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
ADMINISTRACION PUBLICA,2022,Public Administration,https://carmendeareco.gob.ar/estadisticas/2022/ADMINISTRACION%20PUBLICA.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
PRODUCCION 2012-2021,2022,Production Statistics (2012-2021),https://www.carmendeareco.gob.ar/estadisticas/2022/PRODUCCION%202012-2021.pdf,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
EVOLUCIÓN DE LAS PRESTACIONES DE SALUD EN C.A.P.S.,2016-2019,Health Consultations,https://github.com/flongstaff/cda-transparencia/raw/main/data/prestaciones_salud_caps.csv,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
CUD Evolution,2010-2020,Fiscal Distribution Coefficient,https://github.com/flongstaff/cda-transparencia/raw/main/data/cud_evolution_2010_2020.csv,estadisticas_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/estadisticas_index_merged.csv
