Year,Category,File Type,Filename,Relative Path,Official URL,File Size
2016,Documentos_Generales,json,GANADERIA 2016-2020.json,2016/Documentos_Generales/json/GANADERIA 2016-2020.json,http://carmendeareco.gob.ar/wp-content/uploads/2016/GANADERIA 2016-2020.pdf,104
2016,Documentos_Generales,json,Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 105_2016 del Organismo de Control de la Energía Eléctrica.json,2016/Documentos_Generales/json/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 105_2016 del Organismo de Control de la Energía Eléctrica.json,http://carmendeareco.gob.ar/wp-content/uploads/2016/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 105_2016 del Organismo de Control de la Energía Eléctrica.pdf,225
2016,Documentos_Generales,json,Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 223_2016 del Organismo de Control de la Energía Eléctrica.json,2016/Documentos_Generales/json/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 223_2016 del Organismo de Control de la Energía Eléctrica.json,http://carmendeareco.gob.ar/wp-content/uploads/2016/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 223_2016 del Organismo de Control de la Energía Eléctrica.pdf,225
2017,Documentos_Generales,markdown,Acta_de_Apertura_FEAsaU6.md,2017/Documentos_Generales/markdown/Acta_de_Apertura_FEAsaU6.md,http://carmendeareco.gob.ar/wp-content/uploads/2017/Acta_de_Apertura_FEAsaU6.pdf,3153
2017,Documentos_Generales,json,RS-2017-03840811-GDEBA.json,2017/Documentos_Generales/json/RS-2017-03840811-GDEBA.json,http://carmendeareco.gob.ar/wp-content/uploads/2017/RS-2017-03840811-GDEBA.pdf,107
2017,Documentos_Generales,markdown,RS-2017-03840811-GDEBA.md,2017/Documentos_Generales/markdown/RS-2017-03840811-GDEBA.md,http://carmendeareco.gob.ar/wp-content/uploads/2017/RS-2017-03840811-GDEBA.pdf,10536
2017,Documentos_Generales,json,Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 92_2017 del Organismo de Control de la Energía Eléctrica.json,2017/Documentos_Generales/json/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 92_2017 del Organismo de Control de la Energía Eléctrica.json,http://carmendeareco.gob.ar/wp-content/uploads/2017/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 92_2017 del Organismo de Control de la Energía Eléctrica.pdf,224
2018,Documentos_Generales,markdown,Acto_de_Adjudicacion_QmqNYiE.md,2018/Documentos_Generales/markdown/Acto_de_Adjudicacion_QmqNYiE.md,http://carmendeareco.gob.ar/wp-content/uploads/2018/Acto_de_Adjudicacion_QmqNYiE.pdf,11385
2018,Documentos_Generales,markdown,Contrato_CGZzWR1.md,2018/Documentos_Generales/markdown/Contrato_CGZzWR1.md,http://carmendeareco.gob.ar/wp-content/uploads/2018/Contrato_CGZzWR1.pdf,3138
2018,Documentos_Generales,json,Resolución 206_2018.json,2018/Documentos_Generales/json/Resolución 206_2018.json,http://carmendeareco.gob.ar/wp-content/uploads/2018/Resolución 206_2018.pdf,105
2018,Documentos_Generales,markdown,Resolución 206_2018.md,2018/Documentos_Generales/markdown/Resolución 206_2018.md,http://carmendeareco.gob.ar/wp-content/uploads/2018/Resolución 206_2018.pdf,10319
2018,Documentos_Generales,json,Resolución 210_2018.json,2018/Documentos_Generales/json/Resolución 210_2018.json,http://carmendeareco.gob.ar/wp-content/uploads/2018/Resolución 210_2018.pdf,105
2018,Documentos_Generales,markdown,Resolución 210_2018.md,2018/Documentos_Generales/markdown/Resolución 210_2018.md,http://carmendeareco.gob.ar/wp-content/uploads/2018/Resolución 210_2018.pdf,10230
2018,Documentos_Generales,json,Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 206_2018 del Organismo de Control de la Energía Eléctrica.json,2018/Documentos_Generales/json/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 206_2018 del Organismo de Control de la Energía Eléctrica.json,http://carmendeareco.gob.ar/wp-content/uploads/2018/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 206_2018 del Organismo de Control de la Energía Eléctrica.pdf,225
2018,Documentos_Generales,markdown,Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 206_2018 del Organismo de Control de la Energía Eléctrica.md,2018/Documentos_Generales/markdown/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 206_2018 del Organismo de Control de la Energía Eléctrica.md,http://carmendeareco.gob.ar/wp-content/uploads/2018/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 206_2018 del Organismo de Control de la Energía Eléctrica.pdf,5188
2018,Documentos_Generales,json,Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 210_2018 del Organismo de Control de la Energía Eléctrica.json,2018/Documentos_Generales/json/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 210_2018 del Organismo de Control de la Energía Eléctrica.json,http://carmendeareco.gob.ar/wp-content/uploads/2018/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 210_2018 del Organismo de Control de la Energía Eléctrica.pdf,225
2018,Documentos_Generales,markdown,Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 210_2018 del Organismo de Control de la Energía Eléctrica.md,2018/Documentos_Generales/markdown/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 210_2018 del Organismo de Control de la Energía Eléctrica.md,http://carmendeareco.gob.ar/wp-content/uploads/2018/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 210_2018 del Organismo de Control de la Energía Eléctrica.pdf,5188
2019,Documentos_Generales,json,2019-Situacion-Economico-Financiero-Carmen-de-Areco.json,2019/Documentos_Generales/json/2019-Situacion-Economico-Financiero-Carmen-de-Areco.json,http://carmendeareco.gob.ar/wp-content/uploads/2019/2019-Situacion-Economico-Financiero-Carmen-de-Areco.pdf,136
2019,Documentos_Generales,markdown,2019-Situacion-Economico-Financiero-Carmen-de-Areco.md,2019/Documentos_Generales/markdown/2019-Situacion-Economico-Financiero-Carmen-de-Areco.md,http://carmendeareco.gob.ar/wp-content/uploads/2019/2019-Situacion-Economico-Financiero-Carmen-de-Areco.pdf,3210
2019,Documentos_Generales,json,Informe Económico 2019 _ Carmen de Areco - Municipio.json,2019/Documentos_Generales/json/Informe Económico 2019 _ Carmen de Areco - Municipio.json,http://carmendeareco.gob.ar/wp-content/uploads/2019/Informe Económico 2019 _ Carmen de Areco - Municipio.pdf,138
2019,Documentos_Generales,markdown,Informe Económico 2019 _ Carmen de Areco - Municipio.md,2019/Documentos_Generales/markdown/Informe Económico 2019 _ Carmen de Areco - Municipio.md,http://carmendeareco.gob.ar/wp-content/uploads/2019/Informe Económico 2019 _ Carmen de Areco - Municipio.pdf,12796
2019,Documentos_Generales,json,Informe Económico 2019 _ Carmen de Areco - Municipio2.json,2019/Documentos_Generales/json/Informe Económico 2019 _ Carmen de Areco - Municipio2.json,http://carmendeareco.gob.ar/wp-content/uploads/2019/Informe Económico 2019 _ Carmen de Areco - Municipio2.pdf,139
2019,Documentos_Generales,markdown,Informe Económico 2019 _ Carmen de Areco - Municipio2.md,2019/Documentos_Generales/markdown/Informe Económico 2019 _ Carmen de Areco - Municipio2.md,http://carmendeareco.gob.ar/wp-content/uploads/2019/Informe Económico 2019 _ Carmen de Areco - Municipio2.pdf,11390
2020,Documentos_Generales,markdown,03.01-STOCK-DE-DEUDA-Y-PERFIL-DE-VENCIMIENTOS-Planilla-Modelo-30-6-2020.md,2020/Documentos_Generales/markdown/03.01-STOCK-DE-DEUDA-Y-PERFIL-DE-VENCIMIENTOS-Planilla-Modelo-30-6-2020.md,http://carmendeareco.gob.ar/wp-content/uploads/2020/03.01-STOCK-DE-DEUDA-Y-PERFIL-DE-VENCIMIENTOS-Planilla-Modelo-30-6-2020.pdf,31855
2020,Documentos_Generales,json,CUENTA-AHORRO-INVERSION-FINANCIAMIENTO-2020.json,2020/Documentos_Generales/json/CUENTA-AHORRO-INVERSION-FINANCIAMIENTO-2020.json,http://carmendeareco.gob.ar/wp-content/uploads/2020/CUENTA-AHORRO-INVERSION-FINANCIAMIENTO-2020.pdf,128
2020,Documentos_Generales,markdown,CUENTA-AHORRO-INVERSION-FINANCIAMIENTO-2020.md,2020/Documentos_Generales/markdown/CUENTA-AHORRO-INVERSION-FINANCIAMIENTO-2020.md,http://carmendeareco.gob.ar/wp-content/uploads/2020/CUENTA-AHORRO-INVERSION-FINANCIAMIENTO-2020.pdf,5689
2020,Documentos_Generales,markdown,GANADERIA 2016-2020.md,2020/Documentos_Generales/markdown/GANADERIA 2016-2020.md,http://carmendeareco.gob.ar/wp-content/uploads/2020/GANADERIA 2016-2020.pdf,5136
2020,Documentos_Generales,json,INFORME-ECONÓMICO-FINANCIERO-2020.json,2020/Documentos_Generales/json/INFORME-ECONÓMICO-FINANCIERO-2020.json,http://carmendeareco.gob.ar/wp-content/uploads/2020/INFORME-ECONÓMICO-FINANCIERO-2020.pdf,119
2020,Documentos_Generales,markdown,INFORME-ECONÓMICO-FINANCIERO-2020.md,2020/Documentos_Generales/markdown/INFORME-ECONÓMICO-FINANCIERO-2020.md,http://carmendeareco.gob.ar/wp-content/uploads/2020/INFORME-ECONÓMICO-FINANCIERO-2020.pdf,9938
2020,Documentos_Generales,json,Resolución 1089_2020.json,2020/Documentos_Generales/json/Resolución 1089_2020.json,http://carmendeareco.gob.ar/wp-content/uploads/2020/Resolución 1089_2020.pdf,106
2020,Documentos_Generales,markdown,Resolución 1089_2020.md,2020/Documentos_Generales/markdown/Resolución 1089_2020.md,http://carmendeareco.gob.ar/wp-content/uploads/2020/Resolución 1089_2020.pdf,36552
2020,Documentos_Generales,json,SITUACION-ECONOMICO-FINANCIERA-2020.json,2020/Documentos_Generales/json/SITUACION-ECONOMICO-FINANCIERA-2020.json,http://carmendeareco.gob.ar/wp-content/uploads/2020/SITUACION-ECONOMICO-FINANCIERA-2020.pdf,120
2020,Documentos_Generales,markdown,SITUACION-ECONOMICO-FINANCIERA-2020.md,2020/Documentos_Generales/markdown/SITUACION-ECONOMICO-FINANCIERA-2020.md,http://carmendeareco.gob.ar/wp-content/uploads/2020/SITUACION-ECONOMICO-FINANCIERA-2020.pdf,14788
2020,Documentos_Generales,json,SITUACION-PATRIMONIAL-2020.json,2020/Documentos_Generales/json/SITUACION-PATRIMONIAL-2020.json,http://carmendeareco.gob.ar/wp-content/uploads/2020/SITUACION-PATRIMONIAL-2020.pdf,111
2020,Documentos_Generales,markdown,SITUACION-PATRIMONIAL-2020.md,2020/Documentos_Generales/markdown/SITUACION-PATRIMONIAL-2020.md,http://carmendeareco.gob.ar/wp-content/uploads/2020/SITUACION-PATRIMONIAL-2020.pdf,5034
2020,Documentos_Generales,markdown,SITUACIÓN-ECONÓMICO-FINANCIERA.md,2020/Documentos_Generales/markdown/SITUACIÓN-ECONÓMICO-FINANCIERA.md,http://carmendeareco.gob.ar/wp-content/uploads/2020/SITUACIÓN-ECONÓMICO-FINANCIERA.pdf,3170
2020,Documentos_Generales,json,Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 1089_2020 del MINISTERIO DE INFRAESTRUCTURA Y SERVICIOS PÚBLICOS.json,2020/Documentos_Generales/json/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 1089_2020 del MINISTERIO DE INFRAESTRUCTURA Y SERVICIOS PÚBLICOS.json,http://carmendeareco.gob.ar/wp-content/uploads/2020/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 1089_2020 del MINISTERIO DE INFRAESTRUCTURA Y SERVICIOS PÚBLICOS.pdf,231
2020,Documentos_Generales,markdown,Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 1089_2020 del MINISTERIO DE INFRAESTRUCTURA Y SERVICIOS PÚBLICOS.md,2020/Documentos_Generales/markdown/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 1089_2020 del MINISTERIO DE INFRAESTRUCTURA Y SERVICIOS PÚBLICOS.md,http://carmendeareco.gob.ar/wp-content/uploads/2020/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 1089_2020 del MINISTERIO DE INFRAESTRUCTURA Y SERVICIOS PÚBLICOS.pdf,5364
2020,Ejecución_de_Gastos,json,EJECUCION-DEL-PRESUPUESTO-DE-GASTOS-2020.json,2020/Ejecución_de_Gastos/json/EJECUCION-DEL-PRESUPUESTO-DE-GASTOS-2020.json,http://carmendeareco.gob.ar/wp-content/uploads/2020/EJECUCION-DEL-PRESUPUESTO-DE-GASTOS-2020.pdf,125
2020,Ejecución_de_Gastos,markdown,EJECUCION-DEL-PRESUPUESTO-DE-GASTOS-2020.md,2020/Ejecución_de_Gastos/markdown/EJECUCION-DEL-PRESUPUESTO-DE-GASTOS-2020.md,http://carmendeareco.gob.ar/wp-content/uploads/2020/EJECUCION-DEL-PRESUPUESTO-DE-GASTOS-2020.pdf,10832
2020,Ejecución_de_Recursos,json,EJECUCION-DE-RECURSOS-PERIODO-2020.json,2020/Ejecución_de_Recursos/json/EJECUCION-DE-RECURSOS-PERIODO-2020.json,http://carmendeareco.gob.ar/wp-content/uploads/2020/EJECUCION-DE-RECURSOS-PERIODO-2020.pdf,119
2020,Ejecución_de_Recursos,markdown,EJECUCION-DE-RECURSOS-PERIODO-2020.md,2020/Ejecución_de_Recursos/markdown/EJECUCION-DE-RECURSOS-PERIODO-2020.md,http://carmendeareco.gob.ar/wp-content/uploads/2020/EJECUCION-DE-RECURSOS-PERIODO-2020.pdf,4831
2020,Estados_Financieros,json,BALANCE-GENERAL-2020.json,2020/Estados_Financieros/json/BALANCE-GENERAL-2020.json,http://carmendeareco.gob.ar/wp-content/uploads/2020/BALANCE-GENERAL-2020.pdf,105
2020,Estados_Financieros,markdown,BALANCE-GENERAL-2020.md,2020/Estados_Financieros/markdown/BALANCE-GENERAL-2020.md,http://carmendeareco.gob.ar/wp-content/uploads/2020/BALANCE-GENERAL-2020.pdf,13555
2020,Estados_Financieros,markdown,SITUACION-ECONOMICA-FINANCIERA-3°TRI-2022.md,2020/Estados_Financieros/markdown/SITUACION-ECONOMICA-FINANCIERA-3°TRI-2022.md,http://carmendeareco.gob.ar/wp-content/uploads/2020/SITUACION-ECONOMICA-FINANCIERA-3°TRI-2022.pdf,12708
2020,Estados_Financieros,markdown,SITUACION-ECONOMICA-FINANCIERA-3°TRIMESTRE.md,2020/Estados_Financieros/markdown/SITUACION-ECONOMICA-FINANCIERA-3°TRIMESTRE.md,http://carmendeareco.gob.ar/wp-content/uploads/2020/SITUACION-ECONOMICA-FINANCIERA-3°TRIMESTRE.pdf,14077
2020,Estados_Financieros,markdown,SITUACION-ECONOMICA-FINANCIERA-4°TRE-2022.md,2020/Estados_Financieros/markdown/SITUACION-ECONOMICA-FINANCIERA-4°TRE-2022.md,http://carmendeareco.gob.ar/wp-content/uploads/2020/SITUACION-ECONOMICA-FINANCIERA-4°TRE-2022.pdf,12911
2020,Estados_Financieros,markdown,SITUACION-ECONOMICA-FINANCIERA.md,2020/Estados_Financieros/markdown/SITUACION-ECONOMICA-FINANCIERA.md,http://carmendeareco.gob.ar/wp-content/uploads/2020/SITUACION-ECONOMICA-FINANCIERA.pdf,12588
2020,Estados_Financieros,markdown,situacion-economica032.md,2020/Estados_Financieros/markdown/situacion-economica032.md,http://carmendeareco.gob.ar/wp-content/uploads/2020/situacion-economica032.pdf,3150
2021,Documentos_Generales,json,2021%20ADMINISTRACION%20DE%20PERSONAL.json,2021/Documentos_Generales/json/2021%20ADMINISTRACION%20DE%20PERSONAL.json,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20ADMINISTRACION%20DE%20PERSONAL.pdf,122
2021,Documentos_Generales,markdown,2021%20ADMINISTRACION%20DE%20PERSONAL.md,2021/Documentos_Generales/markdown/2021%20ADMINISTRACION%20DE%20PERSONAL.md,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20ADMINISTRACION%20DE%20PERSONAL.pdf,8268
2021,Documentos_Generales,json,2021%20BASE%20DE%20DATOS%20NIÑEZ%20Y%20ADOLESCENCIA.json,2021/Documentos_Generales/json/2021%20BASE%20DE%20DATOS%20NIÑEZ%20Y%20ADOLESCENCIA.json,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20BASE%20DE%20DATOS%20NIÑEZ%20Y%20ADOLESCENCIA.pdf,137
2021,Documentos_Generales,markdown,2021%20BASE%20DE%20DATOS%20NIÑEZ%20Y%20ADOLESCENCIA.md,2021/Documentos_Generales/markdown/2021%20BASE%20DE%20DATOS%20NIÑEZ%20Y%20ADOLESCENCIA.md,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20BASE%20DE%20DATOS%20NIÑEZ%20Y%20ADOLESCENCIA.pdf,5118
2021,Documentos_Generales,json,2021%20CAPS%20ESTADISTICAS.json,2021/Documentos_Generales/json/2021%20CAPS%20ESTADISTICAS.json,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20CAPS%20ESTADISTICAS.pdf,111
2021,Documentos_Generales,markdown,2021%20CAPS%20ESTADISTICAS.md,2021/Documentos_Generales/markdown/2021%20CAPS%20ESTADISTICAS.md,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20CAPS%20ESTADISTICAS.pdf,4289
2021,Documentos_Generales,json,2021%20ESTADISTICAS%20MONITOREO.json,2021/Documentos_Generales/json/2021%20ESTADISTICAS%20MONITOREO.json,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20ESTADISTICAS%20MONITOREO.pdf,116
2021,Documentos_Generales,markdown,2021%20ESTADISTICAS%20MONITOREO.md,2021/Documentos_Generales/markdown/2021%20ESTADISTICAS%20MONITOREO.md,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20ESTADISTICAS%20MONITOREO.pdf,4381
2021,Documentos_Generales,json,2021%20ESTADISTICAS%20OMIC.json,2021/Documentos_Generales/json/2021%20ESTADISTICAS%20OMIC.json,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20ESTADISTICAS%20OMIC.pdf,111
2021,Documentos_Generales,markdown,2021%20ESTADISTICAS%20OMIC.md,2021/Documentos_Generales/markdown/2021%20ESTADISTICAS%20OMIC.md,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20ESTADISTICAS%20OMIC.pdf,9779
2021,Documentos_Generales,json,2021%20HABILITACIONES%20MUNICIPALES.json,2021/Documentos_Generales/json/2021%20HABILITACIONES%20MUNICIPALES.json,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20HABILITACIONES%20MUNICIPALES.pdf,120
2021,Documentos_Generales,markdown,2021%20HABILITACIONES%20MUNICIPALES.md,2021/Documentos_Generales/markdown/2021%20HABILITACIONES%20MUNICIPALES.md,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20HABILITACIONES%20MUNICIPALES.pdf,5301
2021,Documentos_Generales,json,2021%20INDICES%20DE%20EDUCACION.json,2021/Documentos_Generales/json/2021%20INDICES%20DE%20EDUCACION.json,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20INDICES%20DE%20EDUCACION.pdf,116
2021,Documentos_Generales,markdown,2021%20INDICES%20DE%20EDUCACION.md,2021/Documentos_Generales/markdown/2021%20INDICES%20DE%20EDUCACION.md,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20INDICES%20DE%20EDUCACION.pdf,12071
2021,Documentos_Generales,json,2021%20REPORTES%20DE%20CIUDADANOS.json,2021/Documentos_Generales/json/2021%20REPORTES%20DE%20CIUDADANOS.json,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20REPORTES%20DE%20CIUDADANOS.pdf,118
2021,Documentos_Generales,markdown,2021%20REPORTES%20DE%20CIUDADANOS.md,2021/Documentos_Generales/markdown/2021%20REPORTES%20DE%20CIUDADANOS.md,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20REPORTES%20DE%20CIUDADANOS.pdf,5193
2021,Documentos_Generales,json,2021%20SEGURIDAD%20URBANA.json,2021/Documentos_Generales/json/2021%20SEGURIDAD%20URBANA.json,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20SEGURIDAD%20URBANA.pdf,110
2021,Documentos_Generales,markdown,2021%20SEGURIDAD%20URBANA.md,2021/Documentos_Generales/markdown/2021%20SEGURIDAD%20URBANA.md,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20SEGURIDAD%20URBANA.pdf,6595
2021,Documentos_Generales,json,2021%20SERVICIOS%20PUBLICOS.json,2021/Documentos_Generales/json/2021%20SERVICIOS%20PUBLICOS.json,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20SERVICIOS%20PUBLICOS.pdf,112
2021,Documentos_Generales,markdown,2021%20SERVICIOS%20PUBLICOS.md,2021/Documentos_Generales/markdown/2021%20SERVICIOS%20PUBLICOS.md,http://carmendeareco.gob.ar/wp-content/uploads/2021/2021%20SERVICIOS%20PUBLICOS.pdf,5067
2021,Documentos_Generales,markdown,COSECHA 2012-2021.md,2021/Documentos_Generales/markdown/COSECHA 2012-2021.md,http://carmendeareco.gob.ar/wp-content/uploads/2021/COSECHA 2012-2021.pdf,7555
2021,Documentos_Generales,json,Disposición 265_2021.json,2021/Documentos_Generales/json/Disposición 265_2021.json,http://carmendeareco.gob.ar/wp-content/uploads/2021/Disposición 265_2021.pdf,106
2021,Documentos_Generales,markdown,Disposición 265_2021.md,2021/Documentos_Generales/markdown/Disposición 265_2021.md,http://carmendeareco.gob.ar/wp-content/uploads/2021/Disposición 265_2021.pdf,4653
2021,Documentos_Generales,json,Ordenanza-Fiscal-3057-2021.json,2021/Documentos_Generales/json/Ordenanza-Fiscal-3057-2021.json,http://carmendeareco.gob.ar/wp-content/uploads/2021/Ordenanza-Fiscal-3057-2021.pdf,111
2021,Documentos_Generales,json,Ordenanza-Impositiva-3059-2021.json,2021/Documentos_Generales/json/Ordenanza-Impositiva-3059-2021.json,http://carmendeareco.gob.ar/wp-content/uploads/2021/Ordenanza-Impositiva-3059-2021.pdf,115
2021,Documentos_Generales,markdown,PRODUCCION 2012-2021.md,2021/Documentos_Generales/markdown/PRODUCCION 2012-2021.md,http://carmendeareco.gob.ar/wp-content/uploads/2021/PRODUCCION 2012-2021.pdf,7538
2021,Documentos_Generales,json,Resolución 1838_2021.json,2021/Documentos_Generales/json/Resolución 1838_2021.json,http://carmendeareco.gob.ar/wp-content/uploads/2021/Resolución 1838_2021.pdf,106
2021,Documentos_Generales,markdown,Resolución 1838_2021.md,2021/Documentos_Generales/markdown/Resolución 1838_2021.md,http://carmendeareco.gob.ar/wp-content/uploads/2021/Resolución 1838_2021.pdf,7316
2021,Documentos_Generales,json,SALUD-CAP-2021-CARMEN-DE-ARECO.json,2021/Documentos_Generales/json/SALUD-CAP-2021-CARMEN-DE-ARECO.json,http://carmendeareco.gob.ar/wp-content/uploads/2021/SALUD-CAP-2021-CARMEN-DE-ARECO.pdf,115
2021,Documentos_Generales,markdown,SALUD-CAP-2021-CARMEN-DE-ARECO.md,2021/Documentos_Generales/markdown/SALUD-CAP-2021-CARMEN-DE-ARECO.md,http://carmendeareco.gob.ar/wp-content/uploads/2021/SALUD-CAP-2021-CARMEN-DE-ARECO.pdf,4236
2021,Documentos_Generales,markdown,SIEMBRA 2012-2021.md,2021/Documentos_Generales/markdown/SIEMBRA 2012-2021.md,http://carmendeareco.gob.ar/wp-content/uploads/2021/SIEMBRA 2012-2021.pdf,7535
2021,Documentos_Generales,json,Sistema de Información Normativa y Documental Malvinas Argentinas - Disposición 265_2021 de la Dirección de Fiscalización Vegetal del Ministerio de Desarrollo Agrario.json,2021/Documentos_Generales/json/Sistema de Información Normativa y Documental Malvinas Argentinas - Disposición 265_2021 de la Dirección de Fiscalización Vegetal del Ministerio de Desarrollo Agrario.json,http://carmendeareco.gob.ar/wp-content/uploads/2021/Sistema de Información Normativa y Documental Malvinas Argentinas - Disposición 265_2021 de la Dirección de Fiscalización Vegetal del Ministerio de Desarrollo Agrario.pdf,255
2021,Documentos_Generales,markdown,Sistema de Información Normativa y Documental Malvinas Argentinas - Disposición 265_2021 de la Dirección de Fiscalización Vegetal del Ministerio de Desarrollo Agrario.md,2021/Documentos_Generales/markdown/Sistema de Información Normativa y Documental Malvinas Argentinas - Disposición 265_2021 de la Dirección de Fiscalización Vegetal del Ministerio de Desarrollo Agrario.md,http://carmendeareco.gob.ar/wp-content/uploads/2021/Sistema de Información Normativa y Documental Malvinas Argentinas - Disposición 265_2021 de la Dirección de Fiscalización Vegetal del Ministerio de Desarrollo Agrario.pdf,5464
